column_name,drift_score,drift_detected
satisfaction_level,0.4170615266771122,True
number_project,0.08741214015597372,False
average_montly_hours,0.06427253758934691,False
last_evaluation,0.06244635911394624,False
left_or_not,0.04708667037367612,False
prediction,0.04474845309384465,False
time_spend_in_company,0.03455997495949422,False
salary_low,0.017922595258094268,False
promoted_last_5_years,0.01564798437539442,False
salary_medium,0.0146768020461407,False
department_RandD,0.014064368405539195,False
department_management,0.0120868865026681,False
had_work_accidents,0.009749570109355744,False
department_technical,0.006044346985268866,False
salary_high,0.006010345024362972,False
department_sales,0.005405028497939425,False
department_accounting,0.004391440775396978,False
department_marketing,0.0036404034301720616,False
department_hr,0.003486227831288537,False
department_IT,0.0005995257335186399,False
department_support,0.0001721709100061326,False
department_product_mng,0.00016084548989596972,False
